,DECODED_MELLIZA,MAX1_MELLIZA,MAX1_COUNT,MAX2_MELLIZA,MAX2_COUNT
7,ESTA,esta,513452,está,347418
0,EL,el,11491185,él,173683
71,SOLO,sólo,161617,solo,109531
50,ESTE,este,604119,éste,65523
41,PASO,paso,63248,pasó,58894
104,SI,si,204031,sí,56970
35,PERIODO,período,53768,periodo,46520
219,PUBLICO,público,68328,publicó,38880
30,MAS,más,1187915,mas,37697
81,TRABAJO,trabajo,113236,trabajó,34235
167,ESTUDIO,estudio,78803,estudió,31253
76,INICIO,inició,35813,inicio,30943
327,TERMINO,término,68454,terminó,29447
9,COMO,como,2013850,cómo,26940
19,QUE,que,5883132,qué,26664
360,REGRESO,regreso,24489,regresó,24313
17,CASO,caso,95232,casó,23772
46,HACIA,hacia,177198,hacía,21360
258,DESARROLLO,desarrollo,98630,desarrolló,19957
54,CAMBIO,cambio,63736,cambió,17840
39,ESTOS,estos,160824,éstos,16896
658,VIDEO,video,33227,vídeo,16726
60,QUIEN,quien,173875,quién,16161
272,MARTIN,martín,33555,martin,15692
234,INTENTO,intento,21008,intentó,14348
170,INGRESO,ingreso,21060,ingresó,13846
1515,ESTRENO,estrenó,15862,estreno,13471
361,MARIA,maría,95534,maria,12834
124,PUBLICA,pública,37737,publica,12474
428,MARCO,marco,25767,marcó,12120
295,ESTAS,estas,119985,éstas,11576
607,OPERA,ópera,21188,opera,11124
1353,RETIRO,retiró,13518,retiro,10566
431,CONTINUA,continúa,13309,continua,10530
316,DURO,duró,10993,duro,9496
344,PENA,peña,10586,pena,9298
18,O,o,1009312,ó,9166
37,DONDE,donde,439549,dónde,8730
172,USO,uso,88691,usó,8120
430,TRASLADO,trasladó,20613,traslado,7278
255,AMERICA,américa,64858,america,7070
193,APOYO,apoyo,48376,apoyó,6892
1399,ANGELES,ángeles,23182,angeles,6856
750,ABANDONO,abandonó,15180,abandono,6785
83,CUAL,cual,281650,cuál,6777
555,LOGRO,logró,42593,logro,6680
352,SERIA,sería,63543,seria,6446
307,SIMON,simón,7681,simon,6376
958,ANGEL,ángel,22919,angel,6354
355,RECHAZO,rechazó,7043,rechazo,6297
571,CONTINUO,continuó,24669,continuo,6138
1258,ENCARGO,encargó,8702,encargo,6127
392,CORTES,cortes,14749,cortés,6114
1254,ANUNCIO,anunció,24298,anuncio,6037
684,PERIODOS,períodos,6562,periodos,5992
372,AUMENTO,aumento,18406,aumentó,5937
497,PROMEDIO,promedio,22808,promedió,5716
292,MANDO,mando,44964,mandó,5700
550,COMPLETO,completo,26060,completó,5434
109,TAMBIEN,también,860536,tambien,5177
1137,TRATO,trató,8880,trato,5113
610,DISENO,diseño,47288,diseñó,4763
375,TOMO,tomó,29040,tomo,4578
1016,TU,tu,14449,tú,4548
340,GENERO,género,83725,generó,4485
456,CERRO,cerro,20672,cerró,4413
1031,MI,mi,33902,mí,4319
426,SECRETARIA,secretaría,8639,secretaria,4311
740,VIDEOS,videos,8149,vídeos,4205
370,REGISTRO,registro,17000,registró,4195
395,RECORD,récord,12589,record,4160
236,FUTBOL,fútbol,95855,futbol,4143
332,CAMPANA,campaña,42677,campana,4125
1663,DRAGON,dragón,6158,dragon,4062
205,AMPLIO,amplio,15896,amplió,3947
512,TE,te,17109,té,3944
103,ASI,así,275525,asi,3758
768,CAYO,cayó,11528,cayo,3672
388,PRACTICA,práctica,27320,practica,3629
621,RETORNO,retorno,8854,retornó,3597
1154,REEMPLAZO,reemplazo,6029,reemplazó,3583
108,ENVIO,envió,15240,envío,3378
228,JOSE,josé,128518,jose,3360
183,NICOLAS,nicolás,15381,nicolas,3259
683,CAMPANAS,campañas,10794,campanas,3111
93,DIA,día,159037,dia,3099
593,CANON,cañón,11864,canon,3077
1017,FRACASO,fracaso,9290,fracasó,3071
2083,PINTO,pintó,3247,pinto,3058
276,TITULO,título,92210,titulo,3014
241,JUGO,jugó,36009,jugo,2967
558,CANADA,canadá,26135,cañada,2895
951,RECORDS,records,23889,récords,2853
769,AQUEL,aquel,29406,aquél,2833
1674,BARBARA,bárbara,4710,barbara,2813
84,SALVO,salvo,12600,salvó,2786
95,MOTIVO,motivo,24573,motivó,2766
1432,BENJAMIN,benjamin,3601,benjamín,2760
43,DESPUES,después,362408,despues,2720
66,ADEMAS,además,232805,ademas,2715
494,CRITICO,crítico,13492,criticó,2656
164,INCREMENTO,incremento,9248,incrementó,2644
449,QUEDO,quedó,36212,quedo,2565
293,FIJO,fijo,4524,fijó,2539
269,LLEGO,llegó,77357,llego,2519
77,ANTON,antón,2823,anton,2519
1144,SUMO,sumó,3823,sumo,2487
478,LEON,león,47357,leon,2461
781,CRITICA,crítica,29348,critica,2450
90,DECRETO,decreto,22384,decretó,2386
695,AUSTRIACO,austríaco,2468,austriaco,2357
100,CUANDO,cuando,368468,cuándo,2304
1397,IVAN,iván,5638,ivan,2269
1259,AFECTO,afectó,3636,afecto,2260
700,COSTO,costo,8265,costó,2245
69,LUIS,luis,75848,luís,2237
243,MEXICO,méxico,118265,mexico,2236
20,SE,se,4218360,sé,2234
1388,DISPARO,disparo,4965,disparó,2227
2005,MAMA,mama,2631,mamá,2177
1013,SACO,sacó,3569,saco,2128
402,DURAN,durán,2114,duran,2084
616,GALES,gales,8700,galés,2050
1080,ENTERO,entero,6504,enteró,2039
735,ROMAN,román,3247,roman,2039
87,CUALES,cuales,88314,cuáles,2033
75,NUMERO,número,139554,numero,2025
262,AREA,área,84623,area,2025
567,PAGO,pago,10962,pagó,2020
192,LINEA,línea,98052,linea,2019
1009,MUDO,mudó,6856,mudo,2010
33,MUSICA,música,120277,musica,1962
1774,ADRIAN,adrián,2462,adrian,1938
61,IRA,ira,4937,irá,1911
880,DESEMBARCO,desembarco,4125,desembarcó,1901
